C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score
CPA3,CPA3,1.5334767676384234e-184,29.30686,CSF2RB,CSF2RB,1.9320274755415843e-32,12.653611,CXCL8,CXCL8,2.974950279158096e-143,25.865108,CD68,CD68,1.3846131313394169e-77,19.162195,MKI67,MKI67,5.289855027239524e-50,15.510943,MARCO,MARCO,7.559216340323279e-159,27.216171,CLC,CLC,4.714375870936442e-46,14.915651,AZU1,AZU1,1.0967928287802103e-78,19.26283,AZU1,AZU1,5.473419563693356e-16,9.217998,SERPINE1,SERPINE1,7.393201502288534e-47,15.038804,GPNMB,GPNMB,3.687938650243292e-139,25.498667,CEACAM6,CEACAM6,1.1493734246089271e-78,19.291292,S100A8,S100A8,1.3134408820863631e-69,18.181265,AHR,AHR,3.4011101835858403e-84,19.938644,TYMS,TYMS,6.630080747973347e-91,20.697256,RGS2,RGS2,2.1900735111037793e-26,11.507368
FXYD5,FXYD5,6.224839639850206e-153,26.68577,CYTIP,CYTIP,3.263735519882021e-28,11.802309,IL1RN,IL1RN,4.6498232889859775e-104,22.078005,CSTB,CSTB,1.5269548090210275e-77,19.120983,CEP55,CEP55,8.77334606742657e-44,14.515224,FBP1,FBP1,7.142636377487363e-138,25.355074,CD24,CD24,2.300000297316301e-41,14.128247,ELANE,ELANE,1.0967928287802103e-78,19.257849,MPO,MPO,1.589119465642933e-15,9.027419,TPM1,TPM1,1.2965110839070014e-43,14.4884205,CTSZ,CTSZ,1.5309083215853778e-127,24.400406,BPI,BPI,1.1954866945417894e-73,18.647537,S100A9,S100A9,8.998439402005572e-69,18.020872,DUSP4,DUSP4,7.600050359916866e-83,19.747635,TUBB,TUBB,3.027881992484134e-89,20.478487,NR4A2,NR4A2,9.854915601430414e-26,11.3162775
SIGLEC6,SIGLEC6,3.2278082678482215e-150,26.43551,CLC,CLC,3.263735519882021e-28,11.772419,IER3,IER3,3.2523906146725585e-100,21.655485,PLPP3,PLPP3,2.928250407148551e-65,17.561491,TPX2,TPX2,2.085066608851076e-34,12.920268,CCL18,CCL18,2.1821443869156988e-131,24.743744,TMSB4X,TMSB4X,6.543917581014592e-35,13.0091305,MPO,MPO,3.8461633450377384e-78,19.171682,PLPPR3,PLPPR3,1.818441141775042e-15,8.96809,CALD1,CALD1,4.5980129094288284e-42,14.212824,NUPR1,NUPR1,1.8443108975322913e-125,24.186848,NKG7,NKG7,1.4404954363477343e-70,18.226393,PADI4,PADI4,8.998439402005572e-69,18.014734,LAPTM5,LAPTM5,8.722392263628963e-83,19.720179,CRIP1,CRIP1,1.0178785530176471e-87,20.2866,ZNF331,ZNF331,9.168197830576033e-25,11.08276
CLU,CLU,4.2125915383114116e-141,25.618893,GATA2,GATA2,6.953602336007034e-25,11.081758,CCL4L2,CCL4L2,1.5046224097464053e-93,20.922684,GRINA,GRINA,2.613428311184336e-62,17.154856,HMMR,HMMR,1.9663951638220427e-33,12.724003,BHLHE41,BHLHE41,1.4106789981033513e-130,24.65668,EPX,EPX,8.99121353182203e-27,11.445168,SRGN,SRGN,1.5648819716798368e-76,18.962807,ELANE,ELANE,2.3287871710051104e-15,8.88645,PRSS23,PRSS23,5.070964271854314e-41,14.023359,CTSB,CTSB,2.4274604821595982e-114,23.093594,DEFA3,DEFA3,6.570848924539363e-70,18.130919,FPR2,FPR2,4.924020139537575e-61,16.977697,NSMCE1,NSMCE1,7.52155694095751e-78,19.121763,MKI67,MKI67,4.104156479955876e-87,20.203722,JUNB,JUNB,2.3418340394904403e-24,10.972526
GATA2,GATA2,4.2125915383114116e-141,25.61052,TXNIP,TXNIP,5.328415128041336e-23,10.665666,BRI3,BRI3,1.0890654257498394e-85,20.030085,LGALS3,LGALS3,1.4134347934285787e-53,15.918838,CKAP2L,CKAP2L,5.377425678685458e-32,12.445102,APOE,APOE,2.347548462861755e-130,24.627003,PRG2,PRG2,2.0946056383735907e-25,11.152652,SERPINB1,SERPINB1,5.77894493352249e-73,18.503984,NUCB2,NUCB2,2.3287871710051104e-15,8.841658,PXDN,PXDN,3.027714573727614e-40,13.880019,HS3ST2,HS3ST2,1.238498137457963e-111,22.81277,ANXA3,ANXA3,4.135427994489853e-68,17.891556,FCAR,FCAR,4.924020139537575e-61,16.970333,KIT,KIT,9.117542625769278e-77,18.979471,TUBA1B,TUBA1B,2.7325667654090786e-78,19.16289,DDIT4,DDIT4,9.832483833836386e-24,10.821634
LAPTM5,LAPTM5,1.4282175422439822e-140,25.555752,HDC,HDC,2.633319897746655e-22,10.498915,FCAR,FCAR,2.7402491703158866e-85,19.974976,LYZ,LYZ,8.0672737040112525e-50,15.349502,CDK1,CDK1,5.26030536461724e-30,12.058684,MRC1,MRC1,4.013983071184414e-127,24.315872,RNASE2,RNASE2,1.6576507218446512e-21,10.2746525,PRTN3,PRTN3,1.259848311222599e-69,18.076542,PRTN3,PRTN3,2.3287871710051104e-15,8.836756,MMP1,MMP1,4.0981432166164345e-40,13.845209,APOE,APOE,1.506958719954218e-108,22.491735,SLPI,SLPI,6.041421094315542e-68,17.861822,S100P,S100P,2.7183185925806885e-60,16.858934,DCBLD2,DCBLD2,3.3510423021694734e-73,18.533327,HPGD,HPGD,6.7666646648495534e-77,18.98556,HPGD,HPGD,9.742321365196217e-23,10.592379
FCER1A,FCER1A,1.9332554855868e-139,25.447708,AKAP12,AKAP12,7.139257754705744e-20,9.940879,NFKBIA,NFKBIA,1.9960507181696833e-83,19.75189,CYP27A1,CYP27A1,1.913371135356995e-48,15.12803,S100A9,S100A9,1.7409495501055994e-29,11.945148,SAMHD1,SAMHD1,2.2161110270359718e-123,23.953094,ALAS1,ALAS1,7.87461518013138e-16,8.850537,CST7,CST7,4.815966458429238e-69,17.995039,MYB,MYB,2.3287871710051104e-15,8.835066,DKK3,DKK3,2.103249467364449e-39,13.716012,PSAP,PSAP,1.065005205338468e-105,22.191786,AZU1,AZU1,1.742769210852297e-67,17.795118,HK3,HK3,1.1736080779678738e-58,16.62566,HPGDS,HPGDS,3.1623203535855738e-71,18.278648,HDC,HDC,2.6893171722494692e-76,18.904812,SIGLEC6,SIGLEC6,5.516807820247426e-22,10.414207
SEMA7A,SEMA7A,4.9655765359856686e-135,25.040838,PLPP1,PLPP1,4.9325220079706675e-17,9.218935,CSF3R,CSF3R,3.415558318531898e-79,19.24647,LITAF,LITAF,2.5919739906572517e-47,14.94918,TACC3,TACC3,1.7409495501055994e-29,11.935789,INHBA,INHBA,4.328013477411456e-123,23.91961,CST7,CST7,8.218680143376029e-16,8.840314,CEACAM6,CEACAM6,6.692039822912887e-69,17.97027,PRSS57,PRSS57,2.3287871710051104e-15,8.83177,FSTL1,FSTL1,4.033977752190585e-39,13.658977,CCL18,CCL18,6.735387894344706e-104,21.99845,CD24,CD24,3.1931899064553115e-67,17.75455,S100A12,S100A12,1.636042509750518e-56,16.31894,RAB27B,RAB27B,6.20124483238612e-69,17.981028,MS4A2,MS4A2,4.834663791388396e-75,18.744694,KIT,KIT,7.263408807611645e-22,10.375255
HDC,HDC,1.466484209595277e-133,24.900766,EMP3,EMP3,5.793517456274445e-17,9.192313,SOD2,SOD2,1.1919235751644794e-77,19.055344,IFI30,IFI30,4.839275121303333e-46,14.747104,SMC4,SMC4,3.2099212633674696e-29,11.874929,CTSH,CTSH,1.8006816498251813e-120,23.661617,IKZF2,IKZF2,2.7368611609586453e-15,8.685104,RNASE2,RNASE2,7.977167014588856e-66,17.566963,GYPC,GYPC,1.5183294117763256e-14,8.594032,RCN1,RCN1,5.3529572336931956e-39,13.6297655,CTSS,CTSS,9.924672127197498e-104,21.97551,TSPAN2,TSPAN2,6.895268804190672e-67,17.705345,CKAP4,CKAP4,1.6610481936604214e-56,16.31082,GATA2,GATA2,6.236388252316067e-69,17.974182,HIST1H1B,HIST1H1B,8.951845427541445e-75,18.705614,TIMP1,TIMP1,1.5662919244830668e-21,10.290268
SAMSN1,SAMSN1,1.2879291337873147e-130,24.623241,BHLHE40,BHLHE40,6.43764228605779e-17,9.172346,CCL3L1,CCL3L1,4.382612757539941e-74,18.615107,CD74,CD74,6.447820265114099e-43,14.247659,MNDA,MNDA,4.331062686386458e-29,11.84102,CES1,CES1,4.988464569460748e-120,23.614138,PRG3,PRG3,5.977913368903184e-14,8.309787,BPI,BPI,5.173201531940245e-65,17.455122,TXNDC5,TXNDC5,1.2731422621374235e-13,8.326715,EFEMP1,EFEMP1,2.2404336094227682e-38,13.517138,EPHX1,EPHX1,2.8313193358684696e-100,21.606339,ELANE,ELANE,1.8077372162785085e-66,17.645615,TSPAN2,TSPAN2,1.6750901785643405e-55,16.162558,FAM102A,FAM102A,1.2945287693051242e-67,17.799273,RRM2,RRM2,4.161158566606821e-74,18.617884,DCBLD2,DCBLD2,3.260506027665294e-21,10.209215
VWA5A,VWA5A,2.7872077442986187e-125,24.116074,CXCR4,CXCR4,1.0093236514904122e-15,8.847738,MCL1,MCL1,1.9513112809278643e-70,18.154312,LAMP1,LAMP1,8.960561899608615e-43,14.219469,FOXM1,FOXM1,3.177580227115303e-27,11.466972,MS4A7,MS4A7,1.6499184243806065e-119,23.55948,CORO1A,CORO1A,5.406651602796021e-12,7.7014284,NUCB2,NUCB2,9.63445706264041e-65,17.414597,CAT,CAT,1.2731422621374235e-13,8.324772,COL5A1,COL5A1,2.6256104340815376e-38,13.494508,CD74,CD74,1.1716182391064349e-96,21.213764,MPO,MPO,1.442484080029874e-65,17.522951,SIGLEC5,SIGLEC5,9.085392267857465e-54,15.90856,HPGD,HPGD,1.9141750646638665e-67,17.772009,LMNB1,LMNB1,2.4616913191104618e-73,18.517303,ID2,ID2,6.815945704029682e-21,10.128097
HPGD,HPGD,1.5174957920592535e-121,23.75366,CLU,CLU,1.4443470568128507e-14,8.525792,PHACTR1,PHACTR1,6.4615058666568655e-68,17.827955,BCL2A1,BCL2A1,3.599483738227428e-42,14.112411,CENPE,CENPE,6.10609634460195e-27,11.402726,PPARG,PPARG,5.0305209391472036e-116,23.213346,SYNE1,SYNE1,1.570851458270481e-11,7.5498896,SLPI,SLPI,2.2059272816754063e-64,17.362524,SPN,SPN,3.5149307846254897e-13,8.185071,PODXL,PODXL,2.6256104340815376e-38,13.492025,TCN2,TCN2,3.070723869549711e-92,20.72555,SRGN,SRGN,4.033059580857599e-65,17.459799,CHI3L1,CHI3L1,2.255218724351177e-53,15.846064,ACSL4,ACSL4,5.1568225893396936e-67,17.711435,GATA2,GATA2,5.052441345537442e-72,18.349152,CMIP,CMIP,1.9349531565168726e-19,9.786705
ITGA2B,ITGA2B,9.896649364627794e-118,23.378244,GCSAML,GCSAML,3.519896410432392e-14,8.412104,ATP2B1,ATP2B1,1.64210410259638e-67,17.771236,GPNMB,GPNMB,2.1025003761026772e-41,13.983106,PLK1,PLK1,8.375217201044037e-27,11.368205,CXCL3,CXCL3,8.351150015769485e-115,23.088768,CEBPE,CEBPE,1.1372868206368282e-10,7.25054,BEX1,BEX1,5.350820765625455e-63,17.174206,SERPINB1,SERPINB1,5.77862118659313e-13,8.116614,ECE1,ECE1,3.5832111629194007e-38,13.458254,CTSL,CTSL,5.000985201561035e-90,20.475027,RNASE2,RNASE2,4.5948812759936214e-64,17.316084,DYSF,DYSF,3.7904632833929974e-53,15.80835,VWA5A,VWA5A,1.3359867020066538e-65,17.52276,CPA3,CPA3,9.451803459817824e-72,18.31073,EIF4A3,EIF4A3,8.767202637390531e-19,9.624469
GLUL,GLUL,1.1177599966664485e-116,23.271326,MS4A3,MS4A3,4.1223661758467404e-14,8.386329,NAMPT,NAMPT,7.989695815509478e-66,17.547771,PLA2G7,PLA2G7,1.5390044370381533e-40,13.832752,DLGAP5,DLGAP5,1.0238593304870967e-24,10.934003,IL1A,IL1A,5.4214854275894235e-114,23.004547,STXBP5,STXBP5,3.1301742734826037e-10,7.1001306,FAM107B,FAM107B,1.4171103709295815e-60,16.83945,NCL,NCL,6.84967603447334e-13,8.081203,SPARC,SPARC,3.5832111629194007e-38,13.457504,CES1,CES1,4.13477640987735e-89,20.368216,S100A8,S100A8,1.445518633489412e-63,17.246002,MXD1,MXD1,1.4848266823223312e-52,15.71739,SLC18A2,SLC18A2,6.485289056785323e-65,17.428423,TPX2,TPX2,1.0933006416696884e-71,18.298763,TDRD3,TDRD3,2.446171189905308e-18,9.510694
CREM,CREM,1.2870020010683848e-110,22.656273,TMEM154,TMEM154,1.3197561874975852e-13,8.243053,CD44,CD44,2.435400657323139e-64,17.348623,CXCL8,CXCL8,5.5761582818142984e-40,13.736141,SERPINA1,SERPINA1,2.221855941556516e-24,10.8572,C1QA,C1QA,2.911610534826809e-113,22.928495,PYGL,PYGL,4.555015605328456e-10,7.035177,NKG7,NKG7,4.814407552608559e-57,16.347576,PLAC8,PLAC8,6.84967603447334e-13,8.080696,TXNDC5,TXNDC5,6.779842595514763e-38,13.397697,LGMN,LGMN,6.665698277397168e-89,20.341429,S100A9,S100A9,4.4101308667520814e-63,17.177675,CORO1A,CORO1A,2.74535966763652e-52,15.674011,SAMSN1,SAMSN1,8.695909644706756e-64,17.275349,HIST1H2BH,HIST1H2BH,5.82642036419763e-71,18.20359,LXN,LXN,3.8664474671049475e-18,9.455741
HPGDS,HPGDS,3.3472918211967587e-106,22.196625,PRNP,PRNP,3.629140501693832e-13,8.087979,MARCKS,MARCKS,5.9623401543182635e-64,17.293388,CXCL16,CXCL16,2.8106877540093898e-34,12.732809,NDC80,NDC80,2.7824867074759256e-24,10.83072,PCOLCE2,PCOLCE2,3.0776152452809385e-111,22.721876,SRGN,SRGN,1.9154685632873634e-09,6.7996507,SPN,SPN,3.0530003648922207e-55,16.089163,PNP,PNP,2.081184220113458e-12,7.9302616,GNG11,GNG11,6.779842595514763e-38,13.396081,RASSF4,RASSF4,1.0343832226132313e-87,20.203321,BEX1,BEX1,5.320331397530251e-61,16.890379,CDA,CDA,6.910554483901867e-51,15.463535,CTSG,CTSG,8.351251892106588e-63,17.14059,CLU,CLU,8.80899503614322e-68,17.79451,NR4A1,NR4A1,5.668455631042609e-18,9.408854
KIT,KIT,1.846556765895761e-103,21.908735,LIMD2,LIMD2,7.866709354675201e-13,7.98615,PPP1R15A,PPP1R15A,1.5488953297471051e-63,17.234774,CTSS,CTSS,3.149120169229628e-34,12.720522,CENPF,CENPF,3.98555100454834e-24,10.792201,SCD,SCD,7.189656388955835e-108,22.37334,EGR3,EGR3,6.6890156046975574e-09,6.5911226,DEFA3,DEFA3,4.409498221049566e-50,15.326062,MCM7,MCM7,3.2784867511903426e-12,7.8672147,HHIP,HHIP,1.4237175112520144e-36,13.15974,ADTRP,ADTRP,5.796268449264474e-87,20.11504,ARHGDIB,ARHGDIB,1.88413203315891e-60,16.812403,ADGRG3,ADGRG3,2.4724931054441914e-50,15.377296,CPA3,CPA3,3.6449238282980695e-61,16.916046,CDK1,CDK1,5.801285741213867e-66,17.554922,GATA2,GATA2,7.306732609179607e-18,9.375213
NCOA4,NCOA4,7.455438377040889e-102,21.7375,FCER1A,FCER1A,1.4130687167761346e-12,7.9060416,LSP1,LSP1,2.4551074609597957e-62,17.070902,BRI3,BRI3,4.7302484636072405e-34,12.683232,TYMS,TYMS,4.950867904875265e-24,10.766992,SLCO2B1,SLCO2B1,9.274604785833124e-108,22.359566,ENTPD1,ENTPD1,7.602245270895555e-09,6.568361,ARHGDIB,ARHGDIB,3.5933057456529654e-48,15.031425,MLC1,MLC1,3.868953314604064e-12,7.840339,CDH5,CDH5,1.4846293222629123e-36,13.152698,SLC15A3,SLC15A3,3.8525405857371476e-86,20.018042,GCA,GCA,3.506770868043456e-60,16.772495,CEACAM1,CEACAM1,4.909193138197743e-50,15.3291025,RGS10,RGS10,1.916616759199774e-60,16.814594,RGS2,RGS2,2.293301389505946e-61,16.936777,C11orf24,C11orf24,7.306732609179607e-18,9.369704
MS4A2,MS4A2,8.035885746616545e-101,21.626028,STK17B,STK17B,1.6616465788054934e-12,7.8786936,CD14,CD14,4.348613306484704e-62,17.03433,CREG1,CREG1,1.4732396945729153e-33,12.5911255,NUSAP1,NUSAP1,7.055840405495209e-24,10.729319,CD163,CD163,3.9634690348566445e-106,22.189026,CD63,CD63,9.213618391921183e-09,6.5314784,PLAC8,PLAC8,8.617997137019906e-46,14.653112,FBL,FBL,3.9928003805127265e-12,7.8305354,FN1,FN1,1.5508386469932382e-35,12.97039,CYP27A1,CYP27A1,3.443205744853835e-85,19.905891,SERPINB1,SERPINB1,2.445534678812248e-56,16.235266,ANXA3,ANXA3,1.859730744863913e-49,15.238804,CYP1B1,CYP1B1,3.604606566554839e-60,16.773907,FCER1A,FCER1A,5.4160640475711625e-61,16.883108,HEXIM1,HEXIM1,2.3579368857783784e-17,9.233961
RASSF5,RASSF5,3.315022258106835e-100,21.558569,RFLNB,RFLNB,2.23334052915438e-12,7.838216,NFKBIZ,NFKBIZ,7.727032485151856e-61,16.862122,HS3ST2,HS3ST2,2.3516548579451198e-33,12.5514765,KIF11,KIF11,2.2914929006429964e-23,10.615125,CTSB,CTSB,5.427312481585294e-105,22.068808,PLPP1,PLPP1,9.213618391921183e-09,6.5312524,ATP8B4,ATP8B4,3.457768414718e-45,14.555942,GEMIN4,GEMIN4,4.572008267573624e-12,7.807886,S100A16,S100A16,2.7644042576423305e-35,12.919012,TFRC,TFRC,1.3344191892380253e-84,19.835312,PLAC8,PLAC8,1.0242994714937889e-55,16.144264,MNDA,MNDA,2.1410299214698685e-48,15.074917,RGS13,RGS13,8.841992740486667e-59,16.579649,CKS1B,CKS1B,1.940366600067211e-60,16.801968,EPCAM,EPCAM,2.5210581350572414e-17,9.221567
